0;-755796.013991;14937587.512902
1;-755781.932649;14937580.575480
2;-755792.560731;14937589.733805
3;-755788.992305;14937595.010521
4;-755780.311890;14937576.991433
5;-755803.046852;14937586.530494
6;-755788.238923;14937600.261211
7;-755790.375196;14937606.629859
8;-755758.532299;14937604.488844
9;-755793.818254;14937610.159256
10;-755798.325028;14937612.163130
11;-755798.414815;14937633.517833
12;-755803.667652;14937612.298148
13;-755809.375474;14937609.736457
14;-755813.842850;14937603.225454
15;-755814.382182;14937599.881946
16;-755814.059967;14937596.569495
17;-755812.213960;14937593.242034
18;-755810.583472;14937590.278599
19;-755837.775356;14937590.469005
20;-755815.028964;14937570.691144
21;-759170.567261;14938175.796834
22;-759152.211870;14938469.110773
23;-758438.310157;14940533.822217
24;-758530.264368;14940639.402550
25;-758381.084546;14940324.295121
26;-758363.170698;14940030.044334
27;-758575.684113;14939564.324778
28;-759185.913435;14938342.801570
29;-759180.197975;14937725.893962
30;-759124.029642;14937701.728277
31;-758954.929575;14937606.222722
32;-756045.090272;14937114.418478
33;-756128.803698;14937074.453224
34;-756008.688743;14937155.186595
35;-756137.672149;14937074.928964
36;-756888.458513;14938568.340820
37;-756865.089326;14938582.700032
38;-756896.104968;14938582.233767
39;-756756.038859;14938635.227855
40;-756831.486902;14938199.963756
41;-756775.756699;14938300.257532
42;-756722.423793;14938173.511592
43;-756768.905912;14938314.911645
44;-756798.157275;14938314.901910
45;-756756.832689;14938312.517757
46;-756919.471924;14938637.655908
47;-757010.454677;14938865.891683
48;-756878.183945;14938651.151930
49;-757011.086437;14938868.941021
50;-756441.006914;14938168.793707
51;-756442.278753;14938164.956379
52;-756471.637812;14938166.660335
53;-756441.970710;14938160.170868
54;-756440.219362;14938156.526861
55;-756437.919433;14938154.126563
56;-756432.813933;14938151.834465
57;-756435.458762;14938092.130004
58;-756428.761457;14938151.796059
59;-756426.258216;14938152.515514
60;-756422.841854;14938154.674000
61;-756420.634052;14938157.398284
62;-756419.071298;14938162.447976
63;-756401.758343;14938164.550117
64;-756419.872479;14938167.593079
65;-756422.016908;14938171.024168
66;-756426.725014;14938174.208504
67;-756430.716541;14938174.915395
68;-756434.259712;14938174.372077
69;-756437.847678;14938172.500084
70;-756438.713572;14938239.667094
71;-758011.205887;14938703.835588
72;-758007.870177;14938700.889943
73;-758044.867451;14938736.820884
74;-757970.634638;14938668.430055
75;-758028.333674;14938679.047213
76;-757929.826632;14938630.189474
77;-757960.130313;14938699.492503
78;-757916.431253;14938617.935942
79;-757964.284683;14938592.019042
80;-757888.907903;14938591.824324
81;-757914.074949;14938646.099302
82;-757838.079802;14938543.627281
83;-757811.313329;14938601.316054
84;-757831.586580;14938537.505290
85;-757801.589893;14938511.646309
86;-757862.273712;14938501.147708
87;-757761.227520;14938476.847884
88;-757795.177990;14938519.317150
89;-757735.210041;14938451.233629
90;-757781.771264;14938452.875562
91;-755804.908883;14937667.164883
92;-755815.786580;14937705.167001
93;-755688.725289;14937648.799861
94;-755833.744261;14937738.564708
95;-755827.460762;14937676.300235
96;-755845.312134;14937759.857285
97;-755695.698617;14937751.553530
98;-755847.420779;14937762.820068
99;-755898.673285;14937730.958975
100;-755855.027943;14937775.838497
101;-755904.246496;14937744.129907
102;-755878.374085;14937819.294162
103;-755903.638427;14937864.996276
104;-755700.345396;14937820.881836
105;-755965.151244;14937941.431668
106;-755746.576367;14937857.708427
107;-755976.278881;14937954.767080
108;-755779.264540;14937966.549665
109;-756014.890278;14938001.065852
110;-755848.444153;14937983.873865
111;-756032.024465;14938018.733164
112;-755920.561458;14938009.381103
113;-756050.183212;14938043.052295
114;-756034.655044;14937956.629513
115;-756052.493075;14938046.145967
116;-756075.827890;14938043.432221
117;-756161.001739;14938134.442359
118;-755939.468232;14938155.045494
119;-756176.995959;14938134.888386
120;-757616.007645;14938361.014510
121;-757623.298594;14938357.639423
122;-757629.075974;14938352.533037
123;-757638.985025;14938367.748757
124;-757632.810144;14938346.838920
125;-757635.447740;14938337.326018
126;-757635.325208;14938331.445851
127;-757634.088432;14938326.170604
128;-757631.773269;14938321.138230
129;-757628.086735;14938316.257971
130;-757642.711923;14938301.538098
131;-757622.923103;14938311.993773
132;-757616.208138;14938308.907850
133;-757609.734194;14938307.758879
134;-757603.759040;14938308.077478
135;-757598.222264;14938309.609956
136;-757594.356134;14938311.485791
137;-757590.207817;14938314.483469
138;-757584.614902;14938321.296934
139;-757562.347942;14938266.093587
140;-757581.548028;14938329.286420
141;-757580.971564;14938334.087191
142;-757581.615220;14938340.793567
143;-757506.746665;14938333.484315
144;-757583.420544;14938346.166264
145;-757585.646529;14938350.132391
146;-757589.295702;14938354.463606
147;-757594.023346;14938358.113870
148;-757599.355571;14938360.623406
149;-757609.457844;14938362.099105
150;-755831.000897;14937551.142796
151;-755943.706057;14937377.876853
152;-755850.948530;14937571.606890
153;-755947.158895;14937379.471530
154;-755955.220800;14937359.354323
155;-755951.620620;14937358.134909
156;-755963.062229;14937319.090724
157;-755946.424317;14937358.592722
158;-755943.096097;14937360.422553
159;-755940.595471;14937363.275371
160;-755939.471737;14937365.815370
161;-755939.044010;14937369.583720
162;-755801.375907;14937324.108987
163;-755939.645176;14937372.534588
164;-755941.503606;14937375.841396
165;-755951.040936;14937379.788106
166;-755954.708226;14937378.772483
167;-755958.414986;14937375.885412
168;-755960.287393;14937372.589570
169;-755999.692434;14937378.968349
170;-755960.772929;14937367.160776
171;-755959.504770;14937363.575011
172;-755957.095687;14937360.646951
173;-759379.383840;14938517.035330
174;-758992.072573;14938440.470738
